node_id,round,packet_rate,energy_remaining,label,layer1_flagged,ml_prediction,ml_threat_score,bc_verified,bc_reason,bc_confidence,final_decision,adv_ch_sent,data_sent_bs,send_rcv_ratio,nbr_1_status,nbr_2_status,nbr_3_status,nbr_4_status,nbr_5_status
0.0,31.0,41.3458,0.00257093,1.0,1.0,1.0,0.9999932,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333331111111482,1.0,1.0,1.0,1.0,1.0
0.0,32.0,81.1067,0.0,1.0,1.0,1.0,0.9999904,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.7499997812500274,1.0,1.0,1.0,1.0,1.0
0.0,33.0,51.3656,0.0,1.0,1.0,1.0,0.99999213,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.2222220864197684,1.0,1.0,1.0,1.0,1.0
0.0,34.0,61.101,0.0,1.0,1.0,1.0,0.9999953,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.1666666018518554,1.0,1.0,1.0,1.0,1.0
0.0,35.0,73.2907,0.0,1.0,1.0,1.0,0.99999535,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3529410968858178,1.0,1.0,1.0,1.0,1.0
0.0,36.0,46.8244,0.0,1.0,1.0,1.0,0.99999505,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.2142856275510268,1.0,1.0,1.0,1.0,1.0
0.0,37.0,58.8924,0.0,1.0,1.0,1.0,0.99999386,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333331111111482,1.0,0.0,1.0,1.0,1.0
0.0,38.0,61.2028,0.0,1.0,1.0,1.0,0.99999547,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.749999854166679,1.0,1.0,1.0,1.0,1.0
0.0,39.0,47.1091,0.0,1.0,1.0,1.0,0.9999951,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.9999993333335555,1.0,1.0,1.0,1.0,1.0
0.0,40.0,21.4286,0.0,1.0,1.0,1.0,0.9999939,0,BLACKLISTED,1.0,BLOCKED,2.0,4.0,0.9999997500000624,1.0,1.0,1.0,1.0,1.0
0.0,41.0,39.8997,0.0,1.0,1.0,1.0,0.9999897,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.249999895833342,1.0,1.0,0.0,1.0,1.0
0.0,42.0,54.5041,0.0,1.0,1.0,1.0,0.999987,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.599999680000064,1.0,1.0,1.0,1.0,1.0
0.0,43.0,18.7473,0.0,1.0,1.0,1.0,0.99998426,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.6666664814815022,1.0,1.0,1.0,1.0,1.0
0.0,44.0,41.6741,0.0,1.0,1.0,1.0,0.99999183,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3076922071005996,1.0,1.0,1.0,1.0,1.0
0.0,45.0,41.3101,0.0,1.0,1.0,1.0,0.9999892,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.4999998125000236,1.0,1.0,1.0,1.0,1.0
0.0,46.0,0.5,0.0,1.0,1.0,1.0,0.99998605,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.6249997968750256,1.0,1.0,1.0,1.0,1.0
0.0,47.0,74.8776,0.0,1.0,1.0,1.0,0.99998736,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.176470519031146,1.0,1.0,1.0,1.0,1.0
0.0,48.0,59.9005,0.0,1.0,1.0,1.0,0.99999005,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.5555553827160686,1.0,1.0,1.0,1.0,1.0
0.0,49.0,76.0491,0.0,1.0,1.0,1.0,0.99999034,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333332222222316,1.0,1.0,1.0,1.0,1.0
0.0,50.0,0.5,0.0,1.0,1.0,1.0,0.99999326,0,BLACKLISTED,1.0,BLOCKED,2.0,7.0,0.9999998571428776,1.0,1.0,1.0,1.0,1.0
0.0,51.0,22.7202,0.0,1.0,1.0,1.0,0.9999941,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.249999895833342,1.0,1.0,1.0,1.0,1.0
0.0,52.0,60.4424,0.0,1.0,1.0,1.0,0.99999523,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.2857141020408425,1.0,1.0,1.0,1.0,1.0
0.0,53.0,57.9696,0.0,1.0,1.0,1.0,0.99999523,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.666666388888935,1.0,1.0,0.0,1.0,1.0
0.0,54.0,5.98866,0.0,1.0,1.0,1.0,0.99998647,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.999998000002,1.0,1.0,1.0,1.0,1.0
0.0,55.0,47.6992,0.0,1.0,1.0,1.0,0.999985,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333331111111482,1.0,1.0,1.0,1.0,1.0
0.0,56.0,12.3159,0.0,1.0,1.0,1.0,0.9999841,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3636362396694328,1.0,1.0,1.0,1.0,1.0
0.0,57.0,78.7132,0.0,1.0,1.0,1.0,0.9999827,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.4444442839506353,1.0,1.0,1.0,1.0,1.0
0.0,58.0,12.2226,0.0,1.0,1.0,1.0,0.99997795,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.9999993333335555,1.0,1.0,1.0,1.0,1.0
0.0,59.0,26.9905,0.0,1.0,1.0,1.0,0.9999833,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.5999998400000162,1.0,1.0,1.0,1.0,0.0
0.0,60.0,71.4772,0.0,1.0,1.0,1.0,0.9999847,0,BLACKLISTED,1.0,BLOCKED,2.0,8.0,0.9999998750000156,1.0,1.0,1.0,1.0,1.0
0.0,61.0,27.458,0.0,1.0,1.0,1.0,0.9999696,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.6666664814815022,1.0,0.0,1.0,1.0,1.0
0.0,62.0,33.6358,0.0,1.0,1.0,1.0,0.9999441,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.7499995625001092,1.0,1.0,1.0,1.0,1.0
0.0,63.0,38.0412,0.0,1.0,1.0,1.0,0.999896,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333331111111482,1.0,0.0,1.0,0.0,1.0
0.0,64.0,41.1274,0.0,1.0,1.0,1.0,0.9998892,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.4444442839506353,1.0,1.0,1.0,1.0,1.0
0.0,65.0,61.8818,0.0,1.0,1.0,1.0,0.99992275,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333331851852015,1.0,1.0,1.0,1.0,0.0
0.0,66.0,13.9925,0.0,1.0,1.0,1.0,0.99981797,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.666666111111296,1.0,1.0,1.0,1.0,1.0
0.0,67.0,71.4107,0.0,1.0,1.0,1.0,0.9999086,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333332222222316,0.0,1.0,1.0,1.0,1.0
0.0,68.0,29.2003,0.0,1.0,1.0,1.0,0.99990207,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.399999720000056,1.0,1.0,1.0,1.0,0.0
0.0,69.0,20.5489,0.0,1.0,1.0,1.0,0.99991465,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.4999997500000417,1.0,1.0,1.0,1.0,1.0
0.0,70.0,53.1858,0.0,1.0,1.0,1.0,0.9998549,0,BLACKLISTED,1.0,BLOCKED,0.0,8.0,0.9999998750000156,1.0,1.0,1.0,1.0,1.0
0.0,71.0,101.714,0.0,1.0,1.0,1.0,0.99998045,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.149999942500003,1.0,1.0,1.0,1.0,1.0
0.0,72.0,0.5,0.0,1.0,1.0,1.0,0.99996525,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.999998000002,1.0,1.0,1.0,1.0,1.0
0.0,73.0,19.7037,0.0,1.0,1.0,1.0,0.9999897,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.3333331111111482,1.0,1.0,1.0,1.0,1.0
0.0,74.0,41.8963,0.0,1.0,1.0,1.0,0.9999869,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.384615278106517,1.0,1.0,1.0,1.0,1.0
0.0,75.0,0.5,0.0,1.0,1.0,1.0,0.9999735,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.4999996250000938,1.0,1.0,1.0,1.0,1.0
0.0,76.0,75.333,0.0,1.0,1.0,1.0,0.99998194,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.533333231111118,1.0,1.0,1.0,1.0,1.0
0.0,77.0,11.1303,0.0,1.0,1.0,1.0,0.99998814,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.1818180743801752,1.0,1.0,1.0,1.0,1.0
0.0,78.0,53.866,0.0,1.0,1.0,1.0,0.9999895,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.6249997968750256,0.0,1.0,1.0,1.0,1.0
0.0,79.0,54.9418,0.0,1.0,1.0,1.0,0.9999886,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.1874999257812546,1.0,1.0,1.0,1.0,1.0
0.0,80.0,31.4469,0.0,1.0,1.0,1.0,0.999991,0,BLACKLISTED,1.0,BLOCKED,2.0,5.0,0.99999980000004,1.0,1.0,1.0,1.0,1.0
0.0,81.0,86.0019,0.0,1.0,1.0,1.0,0.9999855,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.666666388888935,1.0,1.0,1.0,1.0,1.0
0.0,82.0,30.4777,0.0,1.0,1.0,1.0,0.99998546,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.799999640000072,1.0,1.0,1.0,1.0,1.0
0.0,83.0,12.1629,0.0,1.0,1.0,1.0,0.9999889,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.4999998125000236,1.0,1.0,1.0,1.0,1.0
0.0,84.0,19.3275,0.0,1.0,1.0,1.0,0.9999924,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.166666569444453,1.0,1.0,1.0,1.0,1.0
0.0,85.0,26.1764,0.0,1.0,1.0,1.0,0.99999195,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.199999760000048,1.0,1.0,1.0,1.0,1.0
0.0,86.0,46.6749,0.0,1.0,1.0,1.0,0.9999924,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.272727157024804,1.0,1.0,1.0,1.0,1.0
0.0,87.0,35.2462,0.0,1.0,1.0,1.0,0.99998873,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.272727157024804,1.0,1.0,1.0,1.0,1.0
0.0,88.0,0.5,0.0,1.0,1.0,1.0,0.99998724,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.333332888889037,1.0,1.0,1.0,1.0,1.0
0.0,89.0,69.105,0.0,1.0,1.0,1.0,0.9999852,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.1176469930795885,1.0,1.0,0.0,1.0,1.0
0.0,90.0,23.8015,0.0,1.0,1.0,1.0,0.99999034,0,BLACKLISTED,1.0,BLOCKED,2.0,6.0,0.9999998333333612,1.0,1.0,1.0,1.0,1.0
0.0,91.0,22.1949,0.0,1.0,1.0,1.0,0.99998873,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.249999895833342,1.0,1.0,1.0,1.0,1.0
0.0,92.0,74.4116,0.0,1.0,1.0,1.0,0.9999899,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.6666665277777897,1.0,1.0,1.0,1.0,1.0
0.0,93.0,18.9917,0.0,1.0,1.0,1.0,0.9999904,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.4999996250000938,1.0,1.0,1.0,1.0,1.0
0.0,94.0,73.3326,0.0,1.0,1.0,1.0,0.99999034,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.533333231111118,1.0,1.0,1.0,1.0,0.0
0.0,95.0,47.6277,0.0,1.0,1.0,1.0,0.9999925,0,BLACKLISTED,1.0,BLOCKED,0.0,0.0,1.399999720000056,1.0,1.0,1.0,1.0,1.0
